sentence,label
"For example, our portfolio companies have set a target of 100 per cent utilisation of Variable Rate Technology (VRT) for fertiliser application, to reduce both environmental impact and production costs.",sustainable
We continue to increase the percentage of renewable electricity we procure (avoiding over 19 tCO2e).,sustainable
"Acea Ambiente, the Group Company operating in the circular-economy sector, contributed to the annual event, with a conference on the topic of recovery of the organic fraction from the waste processing chain, on the opportunities and goals of the new centralised composting and anaerobic digestion plants, including biomethane production, and on research projects underway into “Utilising compost for precision farming” and their integration with Companies in the agricultural sector at a regional and national level.",sustainable
Carbon intensity is measured as tons of CO2 per million dollars of revenue.,unsustainable
"More circular, efficient production and transportation methods provide advantage in tendering processes.",unsustainable
"Natural capital is made up of diverse living creatures and the water, soil, and air that sustain them.",unsustainable
"While markets have anticipated some climate legislation coming into force, namely in select sectors directly impacted by energy transition, we do not see widespread evidence of dislocation in valuations across the broader economy.",unsustainable
The aim is to reduce the KBC Group’s Scope 3 emissions relating to this portfolio.,sustainable
"We are striving to reduce the amount of waste we produce, and to reduce water as well as paper consumption.",sustainable
"On joining the Net-Zero Asset Owner Alliance in 2019, CNP Assurances pledged to achieve carbon neutrality in its investment portfolio by 2050.",sustainable
All employees are allowed two days per year from their paid working time to engage in volunteering work.,sustainable
"Globally, we recycled over 42,000 metric tons of paper in 2015.",sustainable
"According to the IEA the power sector was responsible for 41% of global energy-related CO2 emissions in 2019, making it one of the most material sectors in the shift to a low-carbon economy.",unsustainable
"Precision agriculture (PA) is a new approach making use of digital innovations such as artificial intelligence, drones, intelligent sensors, mobile applications and satellite technologies.",unsustainable
"The company has reduced its carbon footprint by 50% since 2018, and reduced carbon intensity by 46% over the same period.*",sustainable
"To achieve the Paris target depends on whether the world is able to quickly deploy large amounts of private capital to construct renewable energy infrastructure, provide low-carbon transport and improve energy efficiency.",unsustainable
"Data on incoming waste includes waste sent for anaerobic and aerobic treatment at the Orvieto landfill and waste processed for the production of compost (sludge, green, OFMSW and other agri food waste).",unsustainable
"In addition, to reduce the amount of plastic garbage generated by our clients, the entire Group is promoting the use of graphan, a pulp material that can be disposed of without separation, as the material for the window portion of window envelopes used in business operations and for sending mail to clients.",sustainable
"We report our GHG emissions according to the GHG Protocol’s “Scope 2 Guidance: an amendment to the Corporate Standard,” released in January 2015.",unsustainable
Food waste typically (but not exclusively) takes place during the retail and consumption stages of the food supply chain.,unsustainable
"We follow a carbon neutrality strategy, seek to use resources efficiently and work to deliver sustainable value for society.",sustainable
"In 2019, air travel accounted for about 38 percent of our own carbon footprint.",unsustainable
"In that sense, GHG emissions for AUM are decidedly different than Scope 1 and 2 emissions (as well as many categories of Scope 3 emissions) reported by companies, where the metric reflects activities that directly result in the release of emissions into the atmosphere.",unsustainable
The recycling rate is calculated by dividing consumption for each scal year by the amount of recycled waste.,unsustainable
"This equates to 1,733 tCO2e and is a new source of Scope 3 emissions.",unsustainable
"Scope 1 emissions estimated from building equipment utilizing fossil fuels to provide ventilation, heating and air conditioning based on square footage of leased properties.",unsustainable
"Biogenic emissions (Scope 3), if present, are not being recorded.",unsustainable
"Waste sorting and recycling systems have been rolled out extensively across our buildings, for paper, plastic, aluminum, batteries, cartridges, etc.",sustainable
